fid,ele,dist_cum,lat,lon
113,1605.38,59718.328766571,32.924937,-116.477501
114,1607.4,60171.576131216,32.925155,-116.48234
115,1674.93,61326.464335138,32.935553,-116.483013
116,1670.63,62153.20736928,32.94272,-116.485445
117,1612.64,62877.262637848,32.948179,-116.489692
118,1620.22,63280.628647671,32.947166,-116.493835
119,1614.09,63752.766420916,32.950195,-116.497383
120,1586.62,64162.65515223,32.953548,-116.499227
121,1583.52,64439.059306226,32.9521,-116.501633
122,1570.54,65017.102271379,32.956969,-116.503839
123,1540.15,65448.420199749,32.960776,-116.504782
124,1488.1,66084.877847649,32.96591,-116.507824
125,1499.01,66622.930339118,32.969386,-116.511839
126,1513.89,67217.105897574,32.973645,-116.515695
127,1500.23,67575.45415433,32.975932,-116.518403
128,1545.6,68035.580155603,32.979431,-116.521048
129,1497.37,68355.053301063,32.981707,-116.523143
130,1450.35,68927.351278952,32.986204,-116.526146
131,1474.94,69508.378144146,32.990853,-116.529012
132,1463.38,70230.590241265,32.997158,-116.530945
133,1452.49,70955.359469126,33.002742,-116.534974
134,1439.15,71591.939272132,33.008219,-116.537012
135,1388.66,72133.376511606,33.012998,-116.535828
136,1293.39,72444.749483425,33.013357,-116.532523
137,1197.34,72815.875659527,33.011913,-116.52894
138,1223.36,73243.511579139,33.012085,-116.524368
139,1247.06,73627.736847716,33.014906,-116.521981
140,1261.61,74070.617819077,33.018784,-116.523112
141,1277.07,74525.196075237,33.022594,-116.521318
142,1284.89,74950.297914577,33.023454,-116.516884
143,1277.22,75415.11035066,33.027407,-116.518537
144,1281.33,75942.677156823,33.032054,-116.519744
145,1217.87,76624.803126816,33.037811,-116.522314
146,1175.5,77291.148223348,33.043632,-116.524081
147,1122.72,77863.308629275,33.048791,-116.524084
148,1110.73,78282.881798294,33.051819,-116.521391
149,1078.14,78806.420212611,33.054308,-116.516628
150,1037.57,79039.792270232,33.055055,-116.514292
151,991.83,79523.156075191,33.059145,-116.512504
152,961.11,80156.359193289,33.064788,-116.511473
153,962.29,80697.476638285,33.067445,-116.506613
154,987.83,81110.455712149,33.067541,-116.502192
155,1010.74,81561.541341692,33.066216,-116.497625
156,954.27,81936.727496572,33.064573,-116.494113
157,917.77,82457.66623318,33.068293,-116.490707
158,937.71,83065.270832952,33.066241,-116.484674
159,942.12,83590.041232928,33.06772,-116.479336
160,896.86,84269.458277147,33.066356,-116.472243
161,809.85,84937.791035641,33.069131,-116.46589
162,739.98,86189.414231874,33.080135,-116.468865
163,690.18,87796.368793466,33.094537,-116.466978
164,730.27,88773.966190297,33.10226,-116.472026
165,768.14,89126.999449769,33.103833,-116.475314
166,791.6,89350.605123328,33.104441,-116.47303
167,847.6,89570.830327468,33.106422,-116.473192
168,882,89870.739691864,33.107581,-116.476095
169,915.26,90143.452661403,33.110011,-116.475648
170,906.51,90527.687687477,33.1093,-116.479677
171,915.09,90949.93243275,33.111705,-116.483184
172,941.27,91325.334222922,33.114962,-116.482089
173,932.2,91712.60171166,33.113941,-116.486057
174,936.62,92074.718333929,33.117119,-116.486947
175,937.91,92489.618123059,33.120198,-116.484422
176,954.28,92772.087462166,33.120042,-116.487443
177,954.73,93067.87995104,33.122652,-116.486791
178,982.11,93348.628312622,33.124476,-116.488877
179,999.06,93616.636433115,33.126755,-116.489832
180,1002.61,93920.24501561,33.12894,-116.491792
181,1000.04,94347.409075505,33.128404,-116.496325
182,1013.83,94929.693095371,33.133653,-116.496459
183,991.1,95161.145328854,33.135738,-116.496565
184,981.44,95487.334252676,33.136351,-116.499984
185,1000.83,95822.11552602,33.138177,-116.502841
186,1013.91,96155.968222618,33.138591,-116.506385
187,1021.7,96500.672166841,33.14149,-116.507717
188,1001.01,96826.081124239,33.144405,-116.50732
189,1008.57,97133.107103628,33.146691,-116.509176
190,1028.58,97320.035651184,33.148289,-116.508539
191,1077.53,97784.432750228,33.148879,-116.513467
192,1107.99,98108.639878597,33.148657,-116.516932
193,1100.63,98443.000393081,33.148974,-116.520496
194,1104.67,98697.639185928,33.150178,-116.52282
195,1094.94,99005.20002255,33.151028,-116.525958
196,1062.51,99560.945002167,33.154933,-116.529691
197,1044.24,99941.27089807,33.1551,-116.533763
198,1046.73,100420.750390531,33.158119,-116.537442
199,1066.03,100830.610974747,33.160201,-116.541072
200,1082.5,101616.941588246,33.167005,-116.543442
201,1099.26,101884.707138488,33.169051,-116.541918
202,1140.72,102400.272012473,33.171612,-116.546531
203,1168.22,102681.209679613,33.173041,-116.549018
204,1195.98,102945.911144603,33.175411,-116.548683
205,1227.62,103303.988257093,33.178595,-116.549319
206,1238.01,103392.286537274,33.177944,-116.548774
207,1264.31,103748.251485053,33.175988,-116.5518
208,1305.18,104315.359368711,33.17979,-116.555866
209,1324.79,104696.56576404,33.182897,-116.557614
210,1292.7,105004.696871103,33.184582,-116.560241
211,1292.54,105464.80662863,33.187426,-116.563833
212,1344.08,106045.806779733,33.192433,-116.565665
213,1327.29,106509.790092488,33.195668,-116.56251
214,1300.92,106661.288802675,33.196932,-116.563126
215,1292.22,106891.888186739,33.197137,-116.565587
216,1273.16,107402.571021741,33.198763,-116.570711
217,1256.46,107583.051582798,33.197999,-116.57242
218,1248.29,107896.539683554,33.200757,-116.573156
219,1233.48,108090.689106017,33.202431,-116.572547
220,1219.22,108465.720208416,33.203769,-116.568853
221,1190.5,108842.788261258,33.205826,-116.572073
222,1168.36,109252.389045764,33.207788,-116.575795
223,1142.5,109661.388482608,33.209339,-116.579775
224,1116.61,110026.067546581,33.21127,-116.582941
225,1074.87,110521.808310391,33.214624,-116.586456
226,1048.35,111112.441711515,33.21876,-116.590447
227,1045.56,111337.493124414,33.220497,-116.591695
228,1054.72,111711.770471602,33.221998,-116.588099
229,1073.3,112170.429667663,33.22517,-116.591256
230,1041.86,112649.733580732,33.225687,-116.596361
231,1009.03,113144.409255318,33.229679,-116.598728
232,1015.81,114450.745486149,33.241367,-116.600462
233,1025.19,114925.970211884,33.245626,-116.599903
234,1048.72,115256.635389561,33.248505,-116.600825
235,1083.31,115447.443360765,33.249685,-116.602315
236,1050.91,116587.215652496,33.254432,-116.613163
237,1064.73,117320.886700978,33.259974,-116.617462
238,1060.17,117756.163029042,33.262329,-116.621199
239,1029.96,118317.334870922,33.266184,-116.6251
240,985.91,118912.872952362,33.266097,-116.631491
241,955.9,119673.372145973,33.267919,-116.63936
242,932.18,120242.079042588,33.271739,-116.643432
243,928.27,120484.677106512,33.273512,-116.644957
244,888.79,121915.423105552,33.279332,-116.658663
245,895.3,122832.59883014,33.286781,-116.654387
246,905.45,123593.045282998,33.292409,-116.649724
247,914.86,124605.025197363,33.295055,-116.639326
248,975.31,125087.791530275,33.296457,-116.634419
249,1011.39,125472.916390987,33.297567,-116.630501
250,1018.41,125801.62837819,33.299684,-116.628031
251,1024.51,126092.365461209,33.301895,-116.629708
252,1007.4,126577.772714126,33.306251,-116.630213
253,979.7,127136.243136768,33.311146,-116.628807
254,1007.08,127555.480216916,33.314642,-116.627095
255,1036.43,127875.683086421,33.31718,-116.625456
256,1049.59,128424.154963436,33.321505,-116.6226
257,1109.46,128608.549536424,33.322466,-116.624216
258,1152.6,129015.107640445,33.323429,-116.628429
259,1217.84,129386.411819075,33.326264,-116.63055
260,1238.6,129648.912498442,33.326168,-116.633367
261,1242.47,129930.352977472,33.326909,-116.636258
262,1249.95,130397.282286665,33.33044,-116.638989
263,1276.7,130846.195187672,33.334343,-116.637712
264,1325.96,131184.550184905,33.337391,-116.637559
265,1363.98,131886.828760673,33.34371,-116.637077
266,1442.81,132098.885864339,33.34195,-116.636187
267,1475.16,132493.236513004,33.341621,-116.631969
268,1492.01,132862.718360248,33.341771,-116.628004
269,1540.37,133316.100293452,33.345843,-116.628432
270,1541.75,133738.634084899,33.346259,-116.62392
271,1570.52,134063.414605353,33.347045,-116.620559
272,1514.01,134624.367506117,33.346356,-116.614589
273,1563.18,135197.167524121,33.346245,-116.608437
274,1543.85,135473.785323825,33.348698,-116.6079
275,1533.88,135984.486336539,33.353118,-116.609438
276,1518.63,136435.000556123,33.357039,-116.608174
277,1531.31,136778.367662069,33.359858,-116.606649
278,1581.07,137255.123399362,33.364129,-116.60607
279,1566.94,137691.014034954,33.365795,-116.601828
280,1585.47,138263.386393803,33.370555,-116.599452
281,1592.81,138680.079177693,33.374063,-116.597849
282,1567.42,139228.176521675,33.377808,-116.594006
283,1556.42,139389.917762121,33.378863,-116.592806
284,1552.59,139888.552132027,33.382706,-116.595587
285,1606.48,140208.44769571,33.384801,-116.59795
286,1616.73,140534.3760239,33.387739,-116.598023
287,1637.91,140826.368779394,33.390065,-116.599493
288,1688.65,141314.946105124,33.394087,-116.601635
289,1711.77,141613.290045381,33.396493,-116.603069
290,1705.72,142199.697638994,33.401557,-116.604881
291,1625.17,142767.966063682,33.406308,-116.607168
292,1533.06,143227.706421288,33.410209,-116.605497
293,1467.07,143615.599933521,33.41334,-116.607355
294,1437.64,144119.348664047,33.417803,-116.60635
295,1436.92,144499.247602964,33.420919,-116.608046
296,1423.46,144848.176800881,33.424065,-116.608048
